asset_type,voltage_kv,location_class,circuits_min,circuits_max,rate_mva_per_circuit,emergency_factor,unit,source,provenance,confidence,method,assumptions,date_or_year
line,400,overhead,1,6,1800,1.15,MVA per circuit,CLP/HK Electric public voltage classes plus conservative transmission ampacity defaults,synthetic_engineering_default,0.62,nearest_voltage_asset_location_lookup,"Used when OSM has line/voltage/circuit tags but no public circuit rating; rate scales by inferred circuit count.",2026
line,275,overhead,1,6,1200,1.15,MVA per circuit,HK Electric public 275 kV transmission class plus conservative transmission ampacity defaults,synthetic_engineering_default,0.60,nearest_voltage_asset_location_lookup,"Used when OSM has line/voltage/circuit tags but no public circuit rating; rate scales by inferred circuit count.",2026
line,220,overhead,1,6,900,1.15,MVA per circuit,Regional public transmission voltage practice plus conservative transmission ampacity defaults,synthetic_engineering_default,0.50,nearest_voltage_asset_location_lookup,"Fallback for regional/GBA assets where OSM voltage is near 220 kV.",2026
line,132,overhead,1,6,450,1.15,MVA per circuit,CLP/HK Electric public 132 kV network class plus conservative transmission ampacity defaults,synthetic_engineering_default,0.58,nearest_voltage_asset_location_lookup,"Used when OSM has line/voltage/circuit tags but no public circuit rating; rate scales by inferred circuit count.",2026
line,110,overhead,1,6,350,1.15,MVA per circuit,Regional public transmission voltage practice plus conservative transmission ampacity defaults,synthetic_engineering_default,0.50,nearest_voltage_asset_location_lookup,"Fallback for regional/GBA assets where OSM voltage is near 110 kV.",2026
line,33,overhead,1,4,90,1.10,MVA per circuit,Public Hong Kong distribution voltage classes plus conservative subtransmission defaults,synthetic_engineering_default,0.48,nearest_voltage_asset_location_lookup,"Distribution/subtransmission circuits are capped below EHV corridor ratings.",2026
cable,400,underground,1,6,1400,1.10,MVA per circuit,CLP/HK Electric public voltage classes plus conservative underground cable ampacity defaults,synthetic_engineering_default,0.58,nearest_voltage_asset_location_lookup,"Underground cable thermal rating is lower than overhead at the same voltage unless public rating is known.",2026
cable,275,underground,1,6,900,1.10,MVA per circuit,HK Electric public 275 kV transmission class plus conservative underground cable ampacity defaults,synthetic_engineering_default,0.56,nearest_voltage_asset_location_lookup,"Underground cable thermal rating is lower than overhead at the same voltage unless public rating is known.",2026
cable,220,underground,1,6,700,1.10,MVA per circuit,Regional public transmission voltage practice plus conservative underground cable ampacity defaults,synthetic_engineering_default,0.48,nearest_voltage_asset_location_lookup,"Fallback for regional/GBA assets where OSM voltage is near 220 kV.",2026
cable,132,underground,1,6,300,1.10,MVA per circuit,CLP/HK Electric public 132 kV network class plus conservative underground cable ampacity defaults,synthetic_engineering_default,0.56,nearest_voltage_asset_location_lookup,"Underground cable thermal rating is lower than overhead at the same voltage unless public rating is known.",2026
cable,110,underground,1,6,250,1.10,MVA per circuit,Regional public transmission voltage practice plus conservative underground cable ampacity defaults,synthetic_engineering_default,0.48,nearest_voltage_asset_location_lookup,"Fallback for regional/GBA assets where OSM voltage is near 110 kV.",2026
cable,33,underground,1,4,75,1.10,MVA per circuit,Public Hong Kong distribution voltage classes plus conservative underground cable defaults,synthetic_engineering_default,0.46,nearest_voltage_asset_location_lookup,"Distribution/subtransmission circuits are capped below EHV corridor ratings.",2026
cable,132,submarine,1,4,240,1.05,MVA per circuit,Conservative submarine cable engineering default where public cable rating is unavailable,synthetic_engineering_default,0.42,nearest_voltage_asset_location_lookup,"Submarine cables use a lower emergency factor and conservative continuous rating.",2026
